,folds,test_auc,val_auc,test_acc,val_acc
0,0,1.0,0.9986413043478262,0.961038961038961,0.9885057471264368
1,1,0.9967123287671233,0.9791044776119403,0.9591836734693877,0.948051948051948
2,2,0.9982373678025852,0.9888888888888888,0.9896907216494846,0.978494623655914
3,3,0.9974747474747474,0.9910661107802263,0.9759036144578314,0.9479166666666666
4,4,0.9989177489177489,1.0,0.9603960396039604,0.9878048780487805
5,5,0.9866666666666667,1.0,0.946236559139785,1.0
6,6,1.0,1.0,0.9555555555555556,0.9882352941176471
7,7,0.9928571428571429,1.0,0.9772727272727273,0.9883720930232558
8,8,0.9960861056751468,1.0,0.9655172413793104,0.99
9,9,1.0,0.9948529411764706,0.9875,0.9886363636363636
