,train,val,test
0,TCGA-KL-8323-01A-01-BS1.1cb2c073-2b42-4ac5-8dae-1fff5a015260,TCGA-KL-8326-01A-01-TS1.56c60cff-8664-44c4-ab20-e3937966fd0a,TCGA-KL-8340-01A-01-BS1.50c75bbd-45d7-4179-b3e9-fef5a278eb1e
1,TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c,TCGA-KL-8326-11A-01-TS1.d7fbb3f2-2192-4e0c-a6fc-1e49794d8b2a,TCGA-KL-8340-01A-01-TS1.5a6db076-ea48-4b67-9879-c07bd98a1e34
2,TCGA-KL-8323-11A-01-TS1.03244a58-76a3-4550-8065-2a7e765f93e6,TCGA-KL-8338-01A-01-BS1.eb6d09fd-b0ee-4d6f-b66e-f09d7494c8d4,TCGA-KL-8340-01Z-00-DX1.85fe33f4-87d5-4e36-9389-d093cde30f80
3,TCGA-KL-8324-01A-01-BS1.5668efb5-e446-4aef-a7c8-6662c1bba287,TCGA-KL-8338-01Z-00-DX1.c3febc9e-8adc-49e0-9ce1-9d2dcc79c09c,TCGA-KL-8340-11A-01-TS1.3e049b91-c67d-4161-9def-461a2a85260a
4,TCGA-KL-8324-01A-01-TS1.20a2ebb7-ea3e-45cf-b401-be034131177e,TCGA-KL-8338-11A-01-TS1.514de147-f397-4bd9-bc05-2ae8a4dde779,TCGA-KM-A7QJ-01Z-00-DX1.5011C41F-4385-4AB2-8AFE-5409125EDC31
5,TCGA-KL-8324-11A-01-TS1.d1ff930c-2558-43ac-bf66-8831cd4bdc50,TCGA-KM-A7Q6-01B-01-TS1.DCA7D659-9D3C-4835-931B-72A65179F3F4,TCGA-2Z-A9J2-01A-01-TS1.D233E99B-8340-45EF-BD62-76718FD7B67C
6,TCGA-KL-8325-01A-01-BS1.bff0bad0-1538-4fc7-80f8-a3f03980e1e5,TCGA-KM-A7Q9-01B-01-TS1.0C501CDC-3594-4418-9C0B-418B94F416FC,TCGA-2Z-A9J2-01Z-00-DX1.AC19245F-B3B9-4A3A-89A3-A8B2E4BD988A
7,TCGA-KL-8325-01A-01-TS1.a899a903-f702-4de7-bc9a-ef58aa58bdb4,TCGA-KN-8423-01A-01-BS1.1036f268-941f-4b0a-8187-e0399a5b9509,TCGA-2Z-A9JL-01A-01-TS1.8CEFCDA6-CDAB-411D-B5AF-23BB071F48F1
8,TCGA-KL-8325-11A-01-TS1.812ee4d6-ce7e-4cdc-9ce9-5de331ccd823,TCGA-KN-8423-01A-01-TS1.eba5d6a8-6725-474b-8c30-b7df1c0c21c5,TCGA-2Z-A9JL-01Z-00-DX1.C99E66C8-3CB7-4F07-B2A4-089187612E38
9,TCGA-KL-8327-01A-01-BS1.8309bcf0-d145-4d76-8199-a0cfd5f61133,TCGA-KN-8423-01Z-00-DX1.EE5F8790-38EB-437F-9C5A-BC6FB58F6ACD,TCGA-2Z-A9JM-01A-01-TS1.BF532F50-3AC1-4B5A-AC68-4BE2E727070C
10,TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8,TCGA-KN-8423-11A-01-TS1.a54f10ea-b61c-4152-977a-3cd13a9782bd,TCGA-2Z-A9JM-01Z-00-DX1.57F0B96B-E171-418E-8B89-AF434B4E0DB9
11,TCGA-KL-8327-11A-01-TS1.0915a1ac-e9ee-4e39-883c-72a299fcc403,TCGA-2K-A9WE-01A-01-TS1.E965A4BC-62F7-4973-9979-6870A4A247A1,TCGA-4A-A93W-01A-01-TS1.0B37532F-37A3-433F-ADAC-36055FDF0E21
