,train,val,test
0,TCGA-3Z-A93Z-01A-01-TSA.3B7A8AD8-E35C-420E-A819-097F34A52F54,TCGA-A3-3306-01A-01-BS1.ef6c8f90-9706-49b4-b268-299f64d4ad79,TCGA-A3-3319-01A-01-BS1.89b0df5d-7191-4d4c-8fbe-051d2209de47
1,TCGA-3Z-A93Z-01Z-00-DX1.79F4D1A6-ACDB-4AB1-B8A8-C1CEE617C734,TCGA-A3-3306-01A-01-TS1.fc5615fb-ace2-439e-9833-c977fdb426a0,TCGA-A3-3319-01A-01-TS1.54701967-fb22-4f97-b7e0-8333d9d14044
2,TCGA-6D-AA2E-01A-01-TSA.FD152D89-2892-4DE1-90BF-AC40CF13A4F4,TCGA-A3-3306-01Z-00-DX1.bfd320d3-f3ec-4015-b34a-98e9967ea80d,TCGA-A3-3319-01A-02-BS2.4f52437b-da24-4c31-86f4-4173e279bb70
3,TCGA-6D-AA2E-01Z-00-DX1.81E7420E-9C8B-4076-A604-F2B2AD3340D5,TCGA-A3-3308-01A-01-BS1.8399fb8b-53a2-4873-a9df-e1d889cc8cd3,TCGA-A3-3319-01Z-00-DX1.38d515b4-6488-421a-9d61-d1e92d98ddbe
4,TCGA-A3-3307-01A-01-BS1.1ef6c290-c223-4e91-a984-e39b827ef967,TCGA-A3-3308-01A-01-TS1.a0d81fc1-9d20-4f75-a4b4-c9657b8f45ed,TCGA-A3-3329-01A-01-BS1.ebb876a2-ae65-4a58-90e7-9da5e5a71426
5,TCGA-A3-3307-01A-01-TS1.1b385aec-9f0b-4790-a12a-75f74ccc6133,TCGA-A3-3308-01A-02-BS2.02b48821-1afa-42f0-80cd-c8b2832d6b51,TCGA-A3-3329-01A-01-TS1.a2a764d6-a47a-42c7-9436-1e709c0860ef
6,TCGA-A3-3307-01Z-00-DX1.E9BB41BE-9F96-49A7-8164-A7E715A00EB9,TCGA-A3-3308-01Z-00-DX1.bbd79ced-9fb9-4601-8ba0-b343da5f6f5b,TCGA-A3-3329-01Z-00-DX1.4da187d6-f0d4-4f4b-95d3-c12d660d4bb2
7,TCGA-A3-3313-01A-01-BS1.199569f4-1c87-4e29-9c63-348ea2f93383,TCGA-A3-3311-01A-01-BS1.23bb6981-c0bc-4f6f-ae6c-8b509fccbaf4,TCGA-A3-3351-01A-01-BS1.1b700839-c565-46aa-8df4-7566b3a98a47
8,TCGA-A3-3313-01A-01-TS1.7097e2d3-1ffd-477e-a7a6-ce1d3180b50c,TCGA-A3-3311-01A-01-TS1.a500f433-fd4c-4e7a-8da2-36487338066a,TCGA-A3-3351-01A-01-TS1.39ba22b2-84af-4329-a8b8-674d0efa8736
9,TCGA-A3-3313-01A-02-BS2.c90d3ea0-6eed-4711-b617-4195da87c2be,TCGA-A3-3311-01A-02-BS2.08cbd97a-3aaa-4b4b-b24e-5415c201cb39,TCGA-A3-3351-01A-02-BS2.aecd33ba-6d31-4b67-b4c0-915715fd5590
10,TCGA-A3-3313-01Z-00-DX1.10f8cd5e-1c4f-4bb4-96f3-c612f093fc80,TCGA-A3-3311-01Z-00-DX1.9674290b-42c6-4107-9eb3-a7d712fbf858,TCGA-A3-3351-01Z-00-DX1.bbfb3f8b-ef35-423a-b13f-7ccf6438b01f
11,TCGA-A3-3316-01A-01-BS1.5c8412f2-340b-4fb3-9bba-6d8b4cb8a794,TCGA-A3-3320-01A-01-BS1.047ca0b0-4e73-4413-afe8-6de5c26309df,TCGA-A3-3372-01A-01-BS1.f8fe24da-00ce-4530-b611-a833eafd725b
12,TCGA-A3-3316-01A-01-TS1.c079b6ca-767c-4afa-9fd3-99cb238b41b0,TCGA-A3-3320-01A-01-TS1.608adf38-5bc5-439e-bc36-4d467b4c1ad7,TCGA-A3-3372-01A-01-TS1.f9a8a3d4-4342-45a5-bdc3-38c2822a4f73
13,TCGA-A3-3316-01Z-00-DX1.d6248cf8-7b02-4dce-8c91-1b91751cf1ee,TCGA-A3-3320-01A-02-BS2.050de1b6-4a2a-4d71-be42-5c4213b33abe,TCGA-A3-3372-01A-02-BS2.326c7875-3588-4778-b0fc-e496a97cbea4
14,TCGA-A3-3317-01A-01-BS1.45f7314f-2cfd-42b5-bf32-0af5e7599806,TCGA-A3-3320-01Z-00-DX1.81f8b962-a7a3-43ba-ab12-d92eb91f97b2,TCGA-A3-3372-01Z-00-DX1.6a238433-934b-4a03-a35e-4728658eea84
15,TCGA-A3-3317-01A-01-TS1.5efb00df-c31d-4069-b2a2-746c33c4fdb9,TCGA-A3-3374-01A-01-BS1.01aa6131-ef57-46a0-8af8-eaea4708bda1,TCGA-A3-3376-01A-01-BS1.d3f6c51c-363d-442d-a136-948ef43c7680
16,TCGA-A3-3317-01A-02-BS2.de18fab0-8419-4262-9138-e8d1c81cb1b7,TCGA-A3-3374-01A-01-TS1.7ddb3274-6b0b-453b-9a7f-7e6ac0221752,TCGA-A3-3376-01A-02-BS2.19d62061-369a-4cdf-8e8b-c142dcc2bf64
17,TCGA-A3-3317-01Z-00-DX1.ca503755-bfa6-462b-b37e-09e8ca97edeb,TCGA-A3-3374-01A-02-BS2.430d325c-c7a2-4a54-91c1-2794a548b111,TCGA-A3-3376-01Z-00-DX1.f386e709-91ae-43b3-8835-b9f878bff2e0
18,TCGA-A3-3322-01A-01-BS1.6c25729c-ccf4-401e-a0a9-cebb4d98cff5,TCGA-A3-3374-01Z-00-DX1.560b8f9f-5195-43e0-be52-73aede19e077,TCGA-A3-A6NJ-01A-01-TS1.BF7F3DAA-E2B3-4697-BD5C-4D3DDE4FE3AF
19,TCGA-A3-3322-01A-01-TS1.a16cf9e1-1d4a-4744-abc8-1ea959d59861,TCGA-AK-3431-01A-01-BS1.cd0602d5-3ed2-4ea3-8805-6915c449fbfb,TCGA-A3-A6NJ-01Z-00-DX1.249AAC4B-E019-43FA-96EF-95ED15D3D264
20,TCGA-A3-3322-01A-02-BS2.ba15e11e-b727-41d8-a7b8-6077e256d40d,TCGA-AK-3431-01A-02-BS2.5948a2ff-2064-4a21-a3ed-d24d18edc3b2,TCGA-AK-3430-01A-01-BS1.1ba811d9-4ede-43f1-bfe2-b11db2e00481
21,TCGA-A3-3322-01Z-00-DX1.9d583339-7726-4eab-a3fb-1a1f2abf8fcf,TCGA-AK-3431-01Z-00-DX1.5D6F4225-F46D-4368-969F-64652FB0DDA9,TCGA-AK-3430-01A-01-TS1.b3930d85-b6dc-49c9-8a5b-c529a3b7603d
22,TCGA-A3-3323-01A-01-BS1.290253cd-e26f-4722-b587-d1e827f91664,TCGA-AK-3433-01A-01-BS1.6a172b3f-730a-4bb4-bef6-4183d62291a2,TCGA-AK-3430-01Z-00-DX1.71713A92-C495-414B-B3FD-1CF5D0D9F105
23,TCGA-A3-3323-01A-01-TS1.99dddd9b-d9b9-4aa2-a2f8-b5354b86368e,TCGA-AK-3433-01A-02-BS2.d8d19f27-dc74-48ce-9788-50df7d7008aa,TCGA-AS-3777-01A-01-TS1.d1b5b7b7-aac2-44fb-815f-bde490643928
