,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.992713275180808,0.98541633069935,0.931818181818182,0.898876404494382
1,1,0.965433856643276,0.989318371767517,0.882352941176471,0.912087912087912
2,2,0.974969050336697,0.983503208725431,0.914634146341463,0.966666666666667
3,3,0.982661503422609,0.995789341377577,0.965909090909091,0.976744186046512
4,4,0.974050671057935,0.997565725413827,0.917647058823529,0.978494623655914
5,5,0.970564873722768,0.978352776787107,0.818181818181818,0.881720430107527
6,6,0.965419692410084,0.978407557354926,0.883720930232558,0.870588235294118
7,7,0.985073221122723,0.99519744330619,0.942528735632184,0.942528735632184
8,8,0.966504149143038,0.978510843103603,0.876288659793814,0.879120879120879
9,9,0.969182964687508,0.990806388976772,0.826086956521739,0.945652173913043
,,0.974657325772745,,,
